Date,Open,High,Low,Close,Adj Close,Volume
2020-09-04,10.000000,10.000000,9.950000,10.000000,10.000000,11500
2020-09-08,10.270000,10.270000,9.915000,9.950000,9.950000,82500
2020-09-09,10.000000,10.010000,9.910000,9.990000,9.990000,1775600
2020-09-10,10.000000,10.025000,9.836000,9.960000,9.960000,1758500
2020-09-11,10.050000,10.100000,9.920000,9.960000,9.960000,47600
2020-09-14,10.050000,10.100000,9.950000,10.000000,10.000000,49200
2020-09-15,9.985000,10.000000,9.905000,9.970000,9.970000,71700
2020-09-16,9.970000,10.010000,9.923000,9.975000,9.975000,50100
2020-09-17,10.480000,10.480000,9.930000,9.930000,9.930000,71700
2020-09-18,10.000000,10.000000,9.930000,9.950000,9.950000,357800
2020-09-21,9.930000,10.080000,9.930000,9.950000,9.950000,618900
2020-09-22,10.040000,10.040000,9.910000,9.920000,9.920000,69700
2020-09-23,9.931000,9.950000,9.920000,9.950000,9.950000,48800
2020-09-24,9.930000,9.935000,9.870000,9.870000,9.870000,80000
2020-09-25,9.970000,9.970000,9.870000,9.880000,9.880000,367100
2020-09-28,10.050000,10.058000,9.910000,9.950000,9.950000,265300
2020-09-29,10.030000,10.030000,9.910000,9.940000,9.940000,92600
2020-09-30,10.000000,10.000000,9.920000,9.940000,9.940000,61200
2020-10-01,9.950000,9.980000,9.900000,9.940000,9.940000,2674000
2020-10-02,9.890000,9.950000,9.880000,9.950000,9.950000,80300
2020-10-05,9.950000,9.950000,9.825000,9.865000,9.865000,825000
2020-10-06,9.840000,9.900000,9.760000,9.780000,9.780000,884200
2020-10-07,9.780000,9.840000,9.750000,9.800000,9.800000,239000
2020-10-08,9.850000,9.850000,9.770000,9.785000,9.785000,127300
2020-10-09,9.810000,9.810000,9.760000,9.770000,9.770000,354000
2020-10-12,9.800000,9.990000,9.790000,9.800000,9.800000,179400
2020-10-13,9.823000,9.910000,9.770000,9.800000,9.800000,46900
2020-10-14,9.850000,9.890000,9.800000,9.800000,9.800000,334400
2020-10-15,9.850000,9.850000,9.720000,9.790000,9.790000,331900
2020-10-16,9.750000,9.790000,9.750000,9.780000,9.780000,7200
2020-10-19,9.770000,9.805000,9.765000,9.800000,9.800000,261400
2020-10-20,9.790000,9.800000,9.700000,9.800000,9.800000,25000
2020-10-21,9.800000,9.800000,9.740000,9.750000,9.750000,674500
2020-10-22,9.760000,9.780000,9.700000,9.780000,9.780000,361200
2020-10-23,9.730000,9.780000,9.700000,9.710000,9.710000,160400
2020-10-26,9.760000,9.760000,9.670000,9.690000,9.690000,147800
2020-10-27,9.740000,9.740000,9.680000,9.685000,9.685000,601900
2020-10-28,9.670000,9.690000,9.575000,9.620000,9.620000,590500
2020-10-29,9.620000,9.657000,9.595000,9.650000,9.650000,611900
