Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1.990000,2.100000,1.990000,1.990000,1.990000,2400
2020-01-03,1.770000,2.080000,1.770000,2.040000,2.040000,2600
2020-01-06,2.000000,2.000000,1.860000,1.860000,1.860000,2000
2020-01-07,1.860000,1.980000,1.800000,1.800000,1.800000,3000
2020-01-08,1.950000,2.000000,1.850000,1.900000,1.900000,5700
2020-01-09,1.800000,2.000000,1.800000,1.860000,1.860000,1900
2020-01-10,1.920000,2.000000,1.920000,2.000000,2.000000,8400
2020-01-13,1.820000,2.220000,1.820000,1.980000,1.980000,2400
2020-01-14,1.820000,2.090000,1.820000,2.010000,2.010000,2200
2020-01-15,1.910000,1.910000,1.910000,1.910000,1.910000,600
2020-01-16,1.930000,1.930000,1.900000,1.900000,1.900000,500
2020-01-17,1.900000,1.900000,1.900000,1.900000,1.900000,0
2020-01-21,1.820000,2.000000,1.810000,1.900000,1.900000,2400
2020-01-22,1.850000,2.000000,1.850000,1.900000,1.900000,4500
2020-01-23,1.850000,1.950000,1.850000,1.860000,1.860000,2100
2020-01-24,1.970000,1.970000,1.900000,1.900000,1.900000,2600
2020-01-27,1.780000,1.970000,1.780000,1.800000,1.800000,1100
2020-01-28,1.810000,2.000000,1.810000,1.950000,1.950000,4700
2020-01-29,2.220000,2.230000,1.820000,2.020000,2.020000,4900
2020-01-30,1.860000,2.220000,1.860000,2.110000,2.110000,2200
2020-01-31,1.900000,2.230000,1.900000,2.210000,2.210000,12100
2020-02-03,2.000000,2.230000,1.930000,1.930000,1.930000,900
2020-02-04,2.220000,2.220000,2.180000,2.210000,2.210000,1700
2020-02-05,2.230000,2.230000,2.190000,2.230000,2.230000,600
2020-02-06,2.230000,2.230000,2.190000,2.190000,2.190000,800
2020-02-07,2.190000,2.190000,2.190000,2.190000,2.190000,800
2020-02-10,2.050000,2.050000,2.050000,2.050000,2.050000,5800
2020-02-11,2.200000,2.200000,2.070000,2.080000,2.080000,4800
2020-02-12,1.980000,1.980000,1.980000,1.980000,1.980000,200
2020-02-13,2.010000,2.290000,2.010000,2.290000,2.290000,6500
2020-02-14,2.290000,2.290000,2.290000,2.290000,2.290000,0
2020-02-18,2.380000,2.620000,2.350000,2.570000,2.570000,6800
2020-02-19,2.570000,2.570000,2.570000,2.570000,2.570000,0
2020-02-20,2.510000,2.600000,2.210000,2.250000,2.250000,2900
2020-02-21,2.610000,2.610000,2.570000,2.600000,2.600000,1200
2020-02-24,2.550000,2.550000,2.530000,2.530000,2.530000,700
2020-02-25,2.320000,2.450000,2.250000,2.400000,2.400000,2700
2020-02-26,2.400000,2.500000,2.400000,2.500000,2.500000,600
2020-02-27,2.300000,2.300000,2.170000,2.170000,2.170000,7700
2020-02-28,2.290000,2.540000,2.120000,2.470000,2.470000,1900
2020-03-02,2.480000,2.610000,2.160000,2.610000,2.610000,1700
2020-03-03,2.610000,2.610000,2.550000,2.570000,2.570000,700
2020-03-04,2.570000,2.570000,2.570000,2.570000,2.570000,0
2020-03-05,2.250000,2.570000,2.250000,2.520000,2.520000,2200
2020-03-06,2.520000,2.520000,2.500000,2.500000,2.500000,700
2020-03-09,2.320000,2.610000,2.320000,2.550000,2.550000,2700
2020-03-10,2.600000,2.600000,2.340000,2.600000,2.600000,1400
2020-03-11,2.580000,2.610000,2.580000,2.580000,2.580000,1200
2020-03-12,2.310000,2.600000,2.310000,2.520000,2.520000,1600
2020-03-13,2.600000,2.600000,2.400000,2.500000,2.500000,1600
2020-03-16,2.500000,2.500000,2.390000,2.420000,2.420000,1400
2020-03-17,2.380000,2.380000,2.200000,2.200000,2.200000,6100
2020-03-18,2.200000,2.200000,2.200000,2.200000,2.200000,0
2020-03-19,2.440000,2.440000,2.400000,2.400000,2.400000,300
2020-03-20,2.310000,2.310000,2.310000,2.310000,2.310000,100
2020-03-23,2.240000,2.240000,2.240000,2.240000,2.240000,200
2020-03-24,2.450000,2.450000,2.400000,2.400000,2.400000,400
2020-03-25,2.300000,2.300000,2.120000,2.120000,2.120000,1100
2020-03-26,2.290000,2.290000,2.080000,2.280000,2.280000,1600
2020-03-27,2.250000,2.250000,2.210000,2.250000,2.250000,500
2020-03-30,2.250000,2.250000,2.130000,2.130000,2.130000,400
2020-03-31,2.110000,2.110000,2.110000,2.110000,2.110000,300
2020-04-01,2.110000,2.150000,2.110000,2.150000,2.150000,600
2020-04-02,2.190000,2.190000,1.910000,2.100000,2.100000,3600
2020-04-03,2.090000,2.100000,2.030000,2.100000,2.100000,500
2020-04-06,2.100000,2.210000,2.100000,2.210000,2.210000,900
2020-04-07,2.200000,2.200000,1.900000,2.190000,2.190000,1300
2020-04-08,1.930000,2.140000,1.930000,2.140000,2.140000,500
2020-04-09,2.150000,2.150000,1.980000,2.070000,2.070000,2700
2020-04-13,2.070000,2.070000,2.070000,2.070000,2.070000,0
2020-04-14,1.960000,2.040000,1.900000,2.040000,2.040000,1800
2020-04-15,2.000000,2.000000,1.860000,1.940000,1.940000,2600
2020-04-16,1.830000,2.000000,1.830000,1.990000,1.990000,1800
2020-04-17,1.990000,1.990000,1.930000,1.930000,1.930000,600
2020-04-20,1.950000,1.950000,1.840000,1.850000,1.850000,900
2020-04-21,1.850000,1.850000,1.670000,1.670000,1.670000,7600
2020-04-22,1.910000,1.920000,1.720000,1.790000,1.790000,2800
2020-04-23,1.790000,1.790000,1.790000,1.790000,1.790000,0
2020-04-24,1.900000,1.920000,1.610000,1.630000,1.630000,30500
2020-04-27,1.600000,1.740000,1.600000,1.630000,1.630000,4200
2020-04-28,1.580000,1.790000,1.580000,1.610000,1.610000,7400
2020-04-29,1.610000,1.780000,1.610000,1.750000,1.750000,10300
2020-04-30,1.780000,1.800000,1.760000,1.780000,1.780000,2600
2020-05-01,1.620000,1.800000,1.620000,1.780000,1.780000,900
2020-05-04,1.800000,1.800000,1.720000,1.770000,1.770000,900
