Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,49.830002,49.900002,48.520000,49.889999,49.573929,191400
2020-01-03,49.150002,50.419998,48.630001,50.349998,50.031013,183300
2020-01-06,49.799999,50.349998,49.360001,50.259998,49.941582,91800
2020-01-07,50.080002,50.349998,49.570000,50.150002,49.832283,71000
2020-01-08,50.150002,50.700001,49.959999,50.009998,49.693165,123400
2020-01-09,50.360001,51.000000,50.119999,50.849998,50.527843,95000
2020-01-10,50.740002,51.290001,50.549999,50.810001,50.488102,126500
2020-01-13,50.799999,51.990002,50.799999,51.950001,51.620880,79500
2020-01-14,51.680000,52.130001,51.470001,51.910000,51.581131,105800
2020-01-15,51.770000,52.730000,51.439999,52.279999,51.948788,123400
2020-01-16,52.759998,53.230000,52.450001,52.700001,52.366127,118100
2020-01-17,53.110001,53.590000,52.680000,52.880001,52.544987,131500
2020-01-21,52.419998,53.430000,52.230000,52.849998,52.515175,119900
2020-01-22,53.020000,53.349998,52.430000,52.950001,52.614544,116800
2020-01-23,52.660000,53.830002,52.130001,53.799999,53.459156,163700
2020-01-24,53.849998,53.849998,52.980000,53.450001,53.111374,103400
2020-01-27,52.349998,53.689999,52.349998,53.400002,53.061695,81900
2020-01-28,53.669998,53.810001,53.310001,53.689999,53.349850,99500
2020-01-29,53.910000,54.169998,53.290001,53.610001,53.270363,79100
2020-01-30,53.160000,54.340000,53.160000,54.279999,53.936111,88800
2020-01-31,53.990002,54.549999,52.139999,52.439999,52.107769,133000
2020-02-03,52.900002,53.759998,52.900002,53.080002,52.743721,149100
2020-02-04,53.930000,54.139999,53.150002,53.400002,53.061695,209100
2020-02-05,54.049999,54.799999,53.619999,54.099998,53.757256,155500
2020-02-06,54.389999,54.610001,53.820000,54.360001,54.015610,117700
2020-02-07,54.169998,54.680000,53.889999,54.500000,54.154720,66400
2020-02-10,54.020000,54.950001,53.759998,54.869999,54.522377,131000
2020-02-11,54.959999,56.189999,54.720001,55.110001,54.760860,91100
2020-02-12,55.450001,56.000000,54.599998,55.669998,55.317307,137000
2020-02-13,55.270000,56.529999,55.250000,56.360001,56.002941,82000
2020-02-14,56.419998,57.340000,56.310001,57.080002,56.718380,110200
