Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.300003,74.959999,74.300003,74.910004,74.038124,840900
2020-01-03,73.809998,74.160004,73.620003,73.720001,72.861969,947100
2020-01-06,73.139999,73.480003,73.059998,73.419998,72.565460,413700
2020-01-07,73.580002,73.739998,73.400002,73.680000,72.822433,580100
2020-01-08,73.440002,74.269997,73.379997,73.839996,72.980576,1311300
2020-01-09,74.709999,74.739998,74.449997,74.580002,73.711960,2997700
2020-01-10,75.010002,75.269997,74.889999,75.050003,74.176491,1304900
2020-01-13,75.739998,76.440002,75.589996,76.349998,75.461357,962200
2020-01-14,75.949997,75.980003,75.610001,75.940002,75.056129,1100000
2020-01-15,75.510002,75.660004,75.260002,75.449997,74.571831,1509900
2020-01-16,75.879997,75.980003,75.720001,75.849998,74.967178,297000
2020-01-17,76.150002,76.230003,75.940002,76.230003,75.342758,1091600
2020-01-21,74.279999,74.449997,74.029999,74.180000,73.316612,1418800
2020-01-22,74.900002,74.930000,74.410004,74.550003,73.682312,1057100
2020-01-23,73.400002,73.910004,73.029999,73.790001,72.931160,3273300
2020-01-24,73.800003,73.879997,72.790001,73.169998,72.318367,985100
2020-01-27,69.839996,71.010002,69.570000,70.680000,69.857353,1037100
2020-01-28,70.839996,71.309998,70.529999,71.099998,70.272469,1202700
2020-01-29,71.709999,71.779999,71.360001,71.529999,70.697456,945600
2020-01-30,69.879997,70.449997,69.519997,70.370003,69.550957,1646200
2020-01-31,69.290001,69.309998,68.519997,68.870003,68.068420,2805500
2020-02-03,69.209999,69.870003,69.169998,69.669998,68.859108,948900
2020-02-04,71.529999,72.000000,71.519997,71.720001,70.885246,974800
2020-02-05,72.889999,72.889999,71.839996,72.000000,71.161995,1459300
2020-02-06,72.790001,72.949997,72.360001,72.449997,71.606750,805100
2020-02-07,71.699997,71.790001,71.279999,71.400002,70.568970,508500
2020-02-10,71.620003,72.169998,71.620003,72.169998,71.330002,2484100
