Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3.590000,3.600000,3.170000,3.210000,3.210000,1884500
2020-01-03,3.200000,3.210000,2.890000,2.900000,2.900000,3588600
2020-01-06,2.880000,2.880000,2.620000,2.770000,2.770000,2929100
2020-01-07,2.800000,2.800000,2.550000,2.570000,2.570000,2381500
2020-01-08,2.540000,2.720000,2.500000,2.620000,2.620000,1824600
2020-01-09,2.570000,2.850000,2.530000,2.610000,2.610000,2088300
2020-01-10,2.620000,2.630000,2.540000,2.540000,2.540000,1752200
2020-01-13,2.550000,2.630000,2.340000,2.360000,2.360000,1838400
2020-01-14,2.400000,2.620000,2.300000,2.580000,2.580000,1444300
2020-01-15,2.580000,2.700000,2.520000,2.640000,2.640000,1212700
2020-01-16,2.670000,2.770000,2.540000,2.540000,2.540000,900300
2020-01-17,2.570000,2.600000,2.520000,2.540000,2.540000,1362900
2020-01-21,2.550000,2.920000,2.510000,2.780000,2.780000,2923500
2020-01-22,2.830000,2.880000,2.750000,2.860000,2.860000,1202300
2020-01-23,2.870000,2.930000,2.780000,2.820000,2.820000,1298100
2020-01-24,2.820000,2.840000,2.610000,2.630000,2.630000,1103800
2020-01-27,2.630000,2.630000,2.370000,2.380000,2.380000,1995100
2020-01-28,2.410000,2.510000,2.390000,2.460000,2.460000,871900
2020-01-29,2.480000,2.530000,2.370000,2.380000,2.380000,780400
2020-01-30,2.350000,2.410000,2.300000,2.370000,2.370000,778200
2020-01-31,2.380000,2.380000,2.150000,2.170000,2.170000,1834700
2020-02-03,2.200000,2.260000,2.160000,2.190000,2.190000,1183000
2020-02-04,2.240000,2.440000,2.210000,2.420000,2.420000,1197200
2020-02-05,2.480000,2.760000,2.460000,2.640000,2.640000,2026800
2020-02-06,2.660000,2.710000,2.550000,2.640000,2.640000,593100
2020-02-07,2.620000,2.640000,2.510000,2.510000,2.510000,600900
2020-02-10,2.600000,2.940000,2.600000,2.930000,2.930000,3094800
