Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,5.880000,5.990000,5.640000,5.680000,5.680000,35400
2020-01-03,5.570000,5.710000,5.520000,5.560000,5.560000,11200
2020-01-06,5.570000,5.800000,5.480000,5.630000,5.630000,33800
2020-01-07,5.620000,5.770000,5.620000,5.670000,5.670000,12100
2020-01-08,5.730000,6.440000,5.730000,6.070000,6.070000,256000
2020-01-09,6.150000,6.510000,6.050000,6.420000,6.420000,71700
2020-01-10,6.470000,6.470000,6.080000,6.310000,6.310000,38600
2020-01-13,6.310000,6.390000,5.910000,6.110000,6.110000,50300
2020-01-14,6.150000,6.340000,5.850000,5.950000,5.950000,42600
2020-01-15,6.000000,6.100000,5.700000,5.730000,5.730000,40000
2020-01-16,5.790000,5.800000,5.470000,5.500000,5.500000,32000
2020-01-17,5.510000,5.790000,5.490000,5.720000,5.720000,46900
2020-01-21,5.780000,5.960000,5.720000,5.860000,5.860000,61400
2020-01-22,5.940000,5.940000,5.700000,5.820000,5.820000,20300
2020-01-23,5.820000,5.830000,5.620000,5.620000,5.620000,12600
2020-01-24,5.720000,5.720000,5.590000,5.620000,5.620000,10500
2020-01-27,5.390000,5.800000,5.390000,5.410000,5.410000,47200
2020-01-28,5.400000,5.570000,5.400000,5.550000,5.550000,5400
2020-01-29,5.540000,5.660000,5.500000,5.500000,5.500000,4800
2020-01-30,5.450000,5.500000,5.260000,5.270000,5.270000,15800
2020-01-31,5.260000,5.270000,5.000000,5.240000,5.240000,26600
2020-02-03,5.260000,5.940000,5.140000,5.730000,5.730000,149900
2020-02-04,5.770000,5.830000,5.520000,5.620000,5.620000,19900
2020-02-05,5.740000,5.740000,5.470000,5.640000,5.640000,24200
2020-02-06,5.710000,5.710000,5.400000,5.550000,5.550000,7200
2020-02-07,5.700000,5.790000,5.480000,5.670000,5.670000,26900
2020-02-10,5.650000,5.790000,5.500000,5.520000,5.520000,18400
2020-02-11,5.450000,5.730000,5.270000,5.350000,5.350000,11800
2020-02-12,5.550000,5.550000,5.370000,5.490000,5.490000,18000
2020-02-13,5.360000,5.500000,5.350000,5.480000,5.480000,10700
2020-02-14,5.450000,5.530000,5.450000,5.530000,5.530000,4300
2020-02-18,5.460000,5.520000,5.350000,5.350000,5.350000,14700
2020-02-19,5.550000,5.550000,4.920000,5.200000,5.200000,86100
2020-02-20,5.210000,5.210000,4.800000,4.900000,4.900000,62700
2020-02-21,4.800000,4.800000,3.930000,4.260000,4.260000,180900
2020-02-24,4.150000,4.490000,4.070000,4.360000,4.360000,32700
2020-02-25,4.500000,4.500000,4.140000,4.140000,4.140000,19900
2020-02-26,4.210000,4.360000,4.080000,4.130000,4.130000,22200
2020-02-27,3.550000,3.550000,3.110000,3.260000,3.260000,131400
2020-02-28,3.260000,3.740000,3.260000,3.740000,3.740000,73400
2020-03-02,3.830000,3.900000,3.510000,3.840000,3.840000,37800
2020-03-03,3.790000,3.790000,3.400000,3.700000,3.700000,23600
2020-03-04,3.890000,3.890000,3.700000,3.830000,3.830000,25600
2020-03-05,3.800000,3.800000,3.670000,3.670000,3.670000,9000
2020-03-06,4.030000,4.030000,3.690000,3.800000,3.800000,36800
2020-03-09,4.000000,4.000000,3.380000,3.390000,3.390000,32100
2020-03-10,3.450000,3.460000,3.150000,3.310000,3.310000,20000
2020-03-11,3.250000,3.420000,3.120000,3.190000,3.190000,11100
2020-03-12,3.120000,3.130000,3.000000,3.010000,3.010000,41800
2020-03-13,3.000000,3.140000,2.700000,2.700000,2.700000,43800
2020-03-16,2.710000,2.710000,2.450000,2.450000,2.450000,27800
2020-03-17,2.700000,2.700000,2.460000,2.500000,2.500000,10200
2020-03-18,2.500000,2.590000,2.300000,2.320000,2.320000,12500
2020-03-19,2.210000,2.580000,2.210000,2.580000,2.580000,11400
2020-03-20,2.660000,2.700000,2.600000,2.600000,2.600000,7800
