Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.640000,6.640000,6.640000,6.640000,6.440512,0
2020-01-03,6.750000,6.750000,6.700000,6.700000,6.498710,2700
2020-01-06,6.750000,6.750000,6.750000,6.750000,6.547207,1000
2020-01-07,6.920000,6.920000,6.920000,6.920000,6.712100,400
2020-01-08,6.920000,6.920000,6.920000,6.920000,6.712100,0
2020-01-09,6.860000,6.860000,6.860000,6.860000,6.653902,2000
2020-01-10,6.860000,6.860000,6.860000,6.860000,6.653902,0
2020-01-13,6.920000,6.950000,6.890000,6.900000,6.692701,3500
2020-01-14,6.970000,6.970000,6.920000,6.950000,6.741198,10700
2020-01-15,6.950000,6.950000,6.950000,6.950000,6.741198,0
2020-01-16,6.950000,6.950000,6.950000,6.950000,6.741198,0
2020-01-17,6.950000,6.950000,6.950000,6.950000,6.741198,500
2020-01-21,6.980000,7.010000,6.950000,6.960000,6.750898,19500
2020-01-22,6.940000,6.950000,6.920000,6.920000,6.712100,2000
2020-01-23,6.940000,6.940000,6.890000,6.890000,6.683001,1400
2020-01-24,6.890000,6.890000,6.890000,6.890000,6.683001,0
2020-01-27,6.910000,6.910000,6.910000,6.910000,6.702399,100
2020-01-28,6.930000,6.930000,6.920000,6.920000,6.712100,1200
2020-01-29,6.890000,6.930000,6.890000,6.930000,6.721799,11100
2020-01-30,7.050000,7.210000,7.050000,7.160000,6.944889,2900
2020-01-31,7.200000,7.310000,7.200000,7.310000,7.090382,13600
2020-02-03,7.440000,7.440000,7.440000,7.440000,7.216477,100
2020-02-04,7.280000,7.320000,7.240000,7.300000,7.080683,14300
2020-02-05,7.430000,7.430000,7.430000,7.430000,7.206777,800
2020-02-06,7.430000,7.430000,7.430000,7.430000,7.265449,0
2020-02-07,7.620000,7.620000,7.620000,7.620000,7.451240,400
2020-02-10,7.770000,7.780000,7.720000,7.720000,7.549026,4400
2020-02-11,7.750000,7.760000,7.740000,7.740000,7.568583,5600
2020-02-12,7.800000,7.820000,7.800000,7.820000,7.646811,1900
2020-02-13,7.900000,7.900000,7.900000,7.900000,7.725039,200
2020-02-14,7.900000,7.900000,7.880000,7.880000,7.705482,900
2020-02-18,7.890000,7.890000,7.880000,7.890000,7.715261,2000
2020-02-19,7.920000,7.970000,7.920000,7.940000,7.764153,2600
2020-02-20,7.880000,7.880000,7.880000,7.880000,7.705482,800
2020-02-21,7.850000,7.850000,7.830000,7.830000,7.656590,6000
2020-02-24,7.060000,7.520000,7.060000,7.520000,7.353455,2700
2020-02-25,7.560000,7.560000,7.560000,7.560000,7.392569,100
2020-02-26,7.360000,7.360000,7.350000,7.350000,7.187220,1000
2020-02-27,7.200000,7.310000,7.200000,7.310000,7.148106,700
2020-02-28,7.090000,7.170000,7.090000,7.140000,6.981871,3600
2020-03-02,7.160000,7.200000,7.160000,7.200000,7.040542,300
2020-03-03,7.200000,7.200000,7.200000,7.200000,7.040542,0
2020-03-04,7.140000,7.290000,7.110000,7.290000,7.128549,1100
2020-03-05,7.210000,7.210000,7.050000,7.050000,6.893865,8200
2020-03-06,7.050000,7.050000,7.050000,7.050000,6.893865,600
2020-03-09,6.720000,6.720000,6.600000,6.600000,6.453830,1400
