Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,18.580000,18.580000,18.120001,18.254999,18.254999,70900
2020-01-03,18.110001,18.219999,17.976999,18.059999,18.059999,56600
2020-01-06,17.860001,17.980000,17.620001,17.690001,17.690001,66500
2020-01-07,17.629999,17.629999,17.420000,17.570000,17.570000,50100
2020-01-08,17.559999,17.790001,17.559999,17.740000,17.740000,96400
2020-01-09,17.809999,17.940001,17.700001,17.900000,17.900000,125500
2020-01-10,17.870001,17.969999,17.790001,17.900000,17.900000,50700
2020-01-13,17.910000,18.070000,17.770000,17.980000,17.980000,75200
2020-01-14,18.020000,18.100000,17.910000,17.950001,17.950001,48900
2020-01-15,17.809999,17.950001,17.809999,17.900000,17.900000,52200
2020-01-16,18.010000,18.209999,17.910000,18.010000,18.010000,47800
2020-01-17,18.110001,18.230000,17.850000,17.920000,17.920000,54300
2020-01-21,17.900000,17.980000,17.799999,17.860001,17.860001,61400
2020-01-22,17.830000,17.950001,17.799999,17.860001,17.860001,46000
2020-01-23,17.799999,17.900000,17.674999,17.830000,17.830000,70500
2020-01-24,17.809999,17.870001,17.610001,17.740000,17.740000,103700
2020-01-27,17.450001,17.650000,17.420000,17.600000,17.600000,87100
2020-01-28,17.660000,17.850000,17.495001,17.680000,17.680000,162200
2020-01-29,17.650000,17.860001,17.535000,17.570000,17.570000,44800
2020-01-30,17.410000,17.709999,17.410000,17.690001,17.690001,64600
2020-01-31,17.990000,19.000000,17.990000,18.870001,18.870001,212500
2020-02-03,18.870001,19.010000,18.639999,18.740000,18.740000,96200
2020-02-04,18.950001,19.010000,18.709999,18.840000,18.840000,113300
2020-02-05,18.950001,19.420000,18.950001,19.379999,19.379999,113600
2020-02-06,19.500000,19.620001,19.120001,19.129999,19.129999,67600
2020-02-07,19.070000,19.125000,18.920000,18.980000,18.980000,47900
2020-02-10,18.870001,19.170000,18.790001,19.120001,19.120001,70700
2020-02-11,19.180000,19.559999,19.180000,19.379999,19.379999,72800
2020-02-12,19.490000,19.650000,19.405001,19.600000,19.600000,53500
2020-02-13,19.590000,20.000000,19.524000,20.000000,20.000000,50800
2020-02-14,20.000000,20.209999,19.879999,19.940001,19.940001,106600
2020-02-18,19.920000,20.030001,19.745001,19.870001,19.870001,49400
2020-02-19,19.840000,20.129999,19.840000,20.000000,20.000000,38700
2020-02-20,19.879999,20.100000,19.850000,19.965000,19.965000,53100
2020-02-21,19.969999,19.969999,19.660000,19.740000,19.740000,65500
2020-02-24,19.290001,19.690001,19.290001,19.620001,19.620001,60400
2020-02-25,19.530001,19.610001,18.980000,19.150000,19.150000,117500
2020-02-26,19.190001,19.330000,18.940001,19.070000,19.070000,68300
2020-02-27,18.820000,19.240000,18.309999,18.535000,18.535000,135500
2020-02-28,18.110001,18.350000,17.715000,18.129999,18.129999,149700
2020-03-02,18.059999,18.809999,17.889999,18.750000,18.750000,82800
2020-03-03,18.670000,18.670000,18.010000,18.250000,18.250000,77200
2020-03-04,18.360001,18.520000,17.950001,18.480000,18.480000,63800
2020-03-05,18.500000,18.500000,17.440001,17.670000,17.670000,70600
2020-03-06,16.780001,17.150000,16.400000,16.879999,16.879999,129100
2020-03-09,15.850000,15.850000,14.720000,14.900000,14.900000,90100
2020-03-10,15.280000,15.700000,14.685000,15.690000,15.690000,93300
2020-03-11,15.260000,15.260000,14.410000,14.590000,14.590000,110300
2020-03-12,13.790000,14.620000,12.730000,13.740000,13.740000,104300
2020-03-13,14.440000,14.900000,13.710000,14.620000,14.620000,107200
2020-03-16,14.950000,14.950000,12.520000,12.530000,12.530000,95500
