Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,4.020000,4.040000,3.740000,3.790000,3.790000,41700
2020-01-03,3.770000,3.920000,3.560000,3.580000,3.580000,79500
2020-01-06,3.600000,3.950000,3.590000,3.690000,3.690000,22500
2020-01-07,3.840000,3.840000,3.670000,3.710000,3.710000,27300
2020-01-08,3.770000,3.830000,3.670000,3.690000,3.690000,34400
2020-01-09,3.700000,3.920000,3.590000,3.860000,3.860000,56200
2020-01-10,3.850000,4.390000,3.850000,4.090000,4.090000,99500
2020-01-13,4.100000,4.260000,3.860000,4.000000,4.000000,67900
2020-01-14,4.020000,4.290000,4.000000,4.170000,4.170000,34600
2020-01-15,4.170000,4.310000,4.020000,4.180000,4.180000,43400
2020-01-16,4.130000,4.380000,4.130000,4.330000,4.330000,65300
2020-01-17,4.400000,4.850000,4.300000,4.330000,4.330000,154600
2020-01-21,4.470000,4.530000,4.400000,4.480000,4.480000,59300
2020-01-22,4.410000,4.520000,4.410000,4.500000,4.500000,60300
2020-01-23,4.540000,4.540000,4.410000,4.460000,4.460000,21700
2020-01-24,4.500000,4.550000,4.200000,4.230000,4.230000,31000
2020-01-27,4.110000,4.230000,3.900000,4.040000,4.040000,49400
2020-01-28,4.020000,4.110000,3.910000,4.000000,4.000000,20100
2020-01-29,4.110000,4.110000,3.930000,4.010000,4.010000,11200
2020-01-30,3.970000,4.000000,3.840000,3.870000,3.870000,33900
2020-01-31,3.870000,3.930000,3.710000,3.800000,3.800000,23700
2020-02-03,3.820000,4.640000,3.820000,4.590000,4.590000,226700
2020-02-04,4.510000,4.730000,4.250000,4.390000,4.390000,68300
2020-02-05,4.400000,4.700000,4.310000,4.340000,4.340000,93600
2020-02-06,4.360000,4.620000,4.360000,4.510000,4.510000,66300
2020-02-07,4.570000,4.570000,4.340000,4.530000,4.530000,56500
2020-02-10,4.530000,4.990000,4.490000,4.800000,4.800000,105700
2020-02-11,4.900000,4.900000,4.700000,4.720000,4.720000,15800
2020-02-12,4.760000,4.760000,4.630000,4.720000,4.720000,18800
2020-02-13,4.770000,4.870000,4.620000,4.670000,4.670000,42200
2020-02-14,4.750000,4.760000,4.640000,4.700000,4.700000,21100
2020-02-18,4.750000,5.100000,4.700000,4.950000,4.950000,124600
2020-02-19,4.990000,5.240000,4.990000,5.090000,5.090000,97300
2020-02-20,5.100000,7.250000,5.100000,5.860000,5.860000,359700
2020-02-21,5.970000,6.100000,4.660000,5.160000,5.160000,180700
2020-02-24,5.000000,5.060000,4.700000,4.900000,4.900000,89000
2020-02-25,4.750000,4.750000,3.910000,4.180000,4.180000,176500
2020-02-26,4.260000,4.680000,3.910000,3.930000,3.930000,133700
2020-02-27,3.890000,3.890000,3.300000,3.590000,3.590000,147600
2020-02-28,3.390000,3.480000,3.250000,3.280000,3.280000,102300
2020-03-02,3.280000,3.280000,3.150000,3.280000,3.280000,68800
2020-03-03,3.280000,3.500000,3.250000,3.450000,3.450000,32300
2020-03-04,3.620000,3.830000,3.450000,3.800000,3.800000,51500
2020-03-05,3.750000,4.060000,3.480000,3.540000,3.540000,37000
2020-03-06,3.550000,3.560000,3.330000,3.500000,3.500000,34700
2020-03-09,3.250000,3.350000,3.120000,3.150000,3.150000,49800
2020-03-10,3.270000,3.340000,3.010000,3.260000,3.260000,50300
2020-03-11,3.170000,3.460000,3.110000,3.380000,3.380000,65000
2020-03-12,3.180000,3.180000,2.700000,2.720000,2.720000,78300
2020-03-13,2.860000,2.950000,2.620000,2.870000,2.870000,48900
2020-03-16,2.600000,3.230000,2.420000,2.650000,2.650000,76400
2020-03-17,2.720000,2.990000,2.540000,2.690000,2.690000,75400
2020-03-18,2.690000,2.730000,2.020000,2.020000,2.020000,69500
2020-03-19,1.850000,1.850000,1.110000,1.390000,1.390000,287000
2020-03-20,1.480000,1.580000,1.300000,1.300000,1.300000,188500
2020-03-23,1.300000,1.400000,1.080000,1.180000,1.180000,195400
2020-03-24,1.300000,1.410000,1.210000,1.340000,1.340000,123400
2020-03-25,1.370000,1.970000,1.370000,1.970000,1.970000,154600
2020-03-26,2.000000,2.670000,2.000000,2.210000,2.210000,262400
2020-03-27,2.240000,2.240000,1.810000,1.850000,1.850000,96600
2020-03-30,1.880000,1.910000,1.750000,1.890000,1.890000,35300
2020-03-31,1.870000,2.040000,1.860000,1.990000,1.990000,34200
2020-04-01,1.870000,1.890000,1.710000,1.740000,1.740000,42300
2020-04-02,1.750000,1.870000,1.680000,1.720000,1.720000,31000
2020-04-03,1.700000,1.770000,1.500000,1.530000,1.530000,46500
2020-04-06,1.650000,2.110000,1.650000,2.040000,2.040000,104800
2020-04-07,2.150000,2.230000,1.810000,1.900000,1.900000,70800
2020-04-08,1.990000,2.100000,1.930000,2.070000,2.070000,53300
2020-04-09,2.140000,2.140000,1.920000,1.970000,1.970000,68700
2020-04-13,1.970000,2.050000,1.930000,1.930000,1.930000,44100
2020-04-14,2.070000,2.070000,1.890000,1.980000,1.980000,48100
2020-04-15,2.020000,2.030000,1.850000,1.870000,1.870000,31500
2020-04-16,1.940000,1.980000,1.350000,1.690000,1.690000,105900
2020-04-17,1.800000,2.110000,1.700000,2.080000,2.080000,104500
2020-04-20,2.080000,2.080000,1.850000,1.950000,1.950000,49900
2020-04-21,1.900000,2.010000,1.810000,1.940000,1.940000,20800
2020-04-22,1.990000,1.990000,1.840000,1.920000,1.920000,44700
2020-04-23,1.950000,2.050000,1.880000,1.890000,1.890000,23600
2020-04-24,1.900000,1.980000,1.880000,1.980000,1.980000,15600
2020-04-27,2.000000,2.100000,1.910000,2.100000,2.100000,45800
2020-04-28,2.100000,2.240000,2.090000,2.210000,2.210000,83700
2020-04-29,2.200000,2.550000,2.150000,2.500000,2.500000,91500
2020-04-30,2.570000,2.570000,2.330000,2.400000,2.400000,79300
2020-05-01,2.460000,2.500000,2.140000,2.280000,2.280000,59500
2020-05-04,2.270000,2.340000,2.040000,2.260000,2.260000,71900
2020-05-05,2.290000,2.400000,2.150000,2.260000,2.260000,37000
2020-05-06,2.240000,2.320000,2.130000,2.300000,2.300000,25900
2020-05-07,2.330000,2.830000,2.300000,2.700000,2.700000,172500
2020-05-08,2.630000,2.810000,2.470000,2.810000,2.810000,92900
2020-05-11,2.800000,3.200000,2.540000,3.140000,3.140000,137500
2020-05-12,4.030000,4.240000,3.310000,3.750000,3.750000,1438100
2020-05-13,3.600000,3.790000,3.000000,3.640000,3.640000,433500
2020-05-14,3.400000,3.640000,3.010000,3.520000,3.520000,252900
2020-05-15,3.430000,3.460000,3.100000,3.280000,3.280000,141900
2020-05-18,3.460000,3.720000,3.310000,3.500000,3.500000,101100
2020-05-19,3.510000,4.530000,3.190000,4.530000,4.530000,2035300
2020-05-20,4.030000,4.450000,3.680000,3.880000,3.880000,988400
2020-05-21,3.880000,3.880000,3.460000,3.530000,3.530000,313600
2020-05-22,3.560000,3.560000,3.420000,3.480000,3.480000,119000
2020-05-26,3.550000,3.550000,3.300000,3.320000,3.320000,230100
2020-05-27,3.370000,3.490000,3.090000,3.380000,3.380000,137300
2020-05-28,3.380000,3.390000,3.220000,3.270000,3.270000,111600
2020-05-29,3.270000,3.330000,2.930000,3.070000,3.070000,186900
2020-06-01,3.060000,3.300000,2.950000,3.210000,3.210000,100900
2020-06-02,3.280000,3.350000,3.120000,3.260000,3.260000,80300
2020-06-03,3.300000,3.380000,3.210000,3.270000,3.270000,96000
2020-06-04,3.250000,3.360000,3.050000,3.100000,3.100000,114800
2020-06-05,3.150000,3.200000,3.020000,3.080000,3.080000,70400
2020-06-08,3.150000,3.280000,3.080000,3.160000,3.160000,87700
2020-06-09,3.170000,3.270000,3.030000,3.140000,3.140000,133900
