Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8.320000,8.770000,8.100000,8.660000,8.660000,279000
2020-01-03,8.600000,9.120000,8.300000,8.680000,8.680000,410800
2020-01-06,8.540000,9.000000,8.450000,8.990000,8.990000,161500
2020-01-07,9.000000,9.440000,8.780000,9.410000,9.410000,256500
2020-01-08,9.440000,9.950000,9.410000,9.860000,9.860000,344300
2020-01-09,9.960000,10.030000,9.330000,9.430000,9.430000,229200
2020-01-10,9.430000,9.560000,8.990000,9.300000,9.300000,143800
2020-01-13,9.270000,9.520000,9.032000,9.400000,9.400000,129900
2020-01-14,9.410000,9.940000,9.220000,9.850000,9.850000,176400
2020-01-15,9.840000,10.140000,9.650000,9.890000,9.890000,201700
2020-01-16,9.860000,9.900000,9.650000,9.710000,9.710000,93300
2020-01-17,9.750000,9.750000,9.150000,9.200000,9.200000,152200
2020-01-21,9.120000,9.540000,9.114000,9.450000,9.450000,106100
2020-01-22,9.500000,9.680000,9.430000,9.650000,9.650000,62600
2020-01-23,9.520000,9.520000,9.200000,9.250000,9.250000,65400
2020-01-24,9.160000,9.410000,8.500000,8.640000,8.640000,137200
2020-01-27,8.530000,8.800000,8.210000,8.710000,8.710000,107300
2020-01-28,8.680000,8.850000,8.590000,8.800000,8.800000,52200
2020-01-29,8.800000,9.000000,8.710000,8.880000,8.880000,63600
2020-01-30,8.820000,9.200000,8.815000,9.180000,9.180000,181400
2020-01-31,9.100000,9.500000,9.010000,9.290000,9.290000,124300
2020-02-03,9.440000,9.690000,9.405000,9.630000,9.630000,129700
2020-02-04,9.690000,9.900000,8.980000,9.130000,9.130000,447300
2020-02-05,9.220000,9.730000,9.180000,9.570000,9.570000,166600
2020-02-06,9.540000,9.670000,9.390000,9.550000,9.550000,124800
2020-02-07,9.300000,9.490000,9.100000,9.490000,9.490000,121200
2020-02-10,9.400000,9.460000,8.880000,8.970000,8.970000,214100
2020-02-11,9.130000,9.130000,8.500000,8.630000,8.630000,290200
2020-02-12,8.600000,8.880000,8.500000,8.650000,8.650000,283000
2020-02-13,8.630000,8.799000,8.350000,8.450000,8.450000,189300
2020-02-14,8.470000,8.640000,8.385000,8.520000,8.520000,148500
2020-02-18,8.500000,8.510000,8.300000,8.340000,8.340000,125100
2020-02-19,8.350000,8.680000,8.300000,8.560000,8.560000,173300
2020-02-20,8.580000,8.600000,8.220000,8.400000,8.400000,172900
2020-02-21,8.270000,8.460000,8.180000,8.410000,8.410000,174600
2020-02-24,8.040000,8.050000,7.560000,7.870000,7.870000,175500
2020-02-25,7.850000,7.970000,7.200000,7.290000,7.290000,197600
2020-02-26,7.280000,7.430000,7.170000,7.310000,7.310000,92900
2020-02-27,7.190000,7.400000,6.720000,7.090000,7.090000,137100
2020-02-28,6.780000,7.050000,6.750000,6.870000,6.870000,107000
2020-03-02,6.910000,7.095000,6.770000,6.980000,6.980000,152000
2020-03-03,6.920000,7.010000,6.730000,6.900000,6.900000,119600
2020-03-04,7.010000,7.320000,6.973000,7.240000,7.240000,101600
2020-03-05,7.110000,7.510000,7.090000,7.330000,7.330000,101100
2020-03-06,7.110000,7.350000,6.800000,6.950000,6.950000,97900
2020-03-09,6.300000,6.370000,5.120000,5.940000,5.940000,136800
2020-03-10,6.180000,6.400000,5.895000,6.120000,6.120000,166100
2020-03-11,5.980000,6.470000,5.420000,5.490000,5.490000,174100
2020-03-12,4.940000,5.210000,4.760000,4.930000,4.930000,116100
2020-03-13,5.190000,5.253000,4.415000,4.670000,4.670000,184400
2020-03-16,4.490000,4.600000,4.250000,4.250000,4.250000,148200
2020-03-17,4.210000,4.790000,4.110000,4.740000,4.740000,168000
2020-03-18,4.460000,4.610000,4.070000,4.240000,4.240000,285500
2020-03-19,4.320000,5.069000,4.320000,4.680000,4.680000,168200
2020-03-20,4.780000,5.280000,4.500000,4.740000,4.740000,172700
2020-03-23,4.780000,5.570000,4.760000,5.380000,5.380000,222900
2020-03-24,5.560000,5.880000,5.560000,5.800000,5.800000,160900
2020-03-25,5.780000,6.280000,5.685000,6.070000,6.070000,170800
2020-03-26,6.150000,6.700000,6.070000,6.640000,6.640000,152800
2020-03-27,6.500000,6.750000,6.050000,6.350000,6.350000,179800
2020-03-30,6.390000,7.300000,6.390000,7.300000,7.300000,217500
2020-03-31,7.300000,7.300000,6.520000,6.910000,6.910000,153500
2020-04-01,6.660000,7.230000,6.660000,7.150000,7.150000,257900
2020-04-02,7.080000,7.700000,6.820000,7.580000,7.580000,187400
2020-04-03,7.520000,7.969000,7.120000,7.510000,7.510000,128900
2020-04-06,7.520000,7.694000,6.860000,7.240000,7.240000,175600
2020-04-07,7.290000,7.350000,6.760000,6.810000,6.810000,309700
2020-04-08,6.820000,7.130000,6.670000,7.000000,7.000000,124800
2020-04-09,6.730000,7.080000,6.643000,6.980000,6.980000,101700
2020-04-13,6.960000,7.220000,6.780000,7.190000,7.190000,101900
2020-04-14,7.250000,7.660000,7.240000,7.510000,7.510000,107200
2020-04-15,7.290000,7.360000,6.950000,7.240000,7.240000,66500
2020-04-16,7.250000,7.690000,7.170000,7.640000,7.640000,76500
2020-04-17,7.800000,7.890000,7.530000,7.850000,7.850000,109200
2020-04-20,7.590000,8.070000,7.080000,7.620000,7.620000,95800
2020-04-21,7.530000,7.760000,7.309000,7.580000,7.580000,67100
2020-04-22,7.700000,7.700000,7.470000,7.530000,7.530000,79700
