Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,12.540000,13.080000,11.580000,11.760000,11.760000,561350
2020-01-03,13.320000,15.300000,13.080000,13.620000,13.620000,1940650
2020-01-06,13.320000,15.180000,13.320000,14.880000,14.880000,965017
2020-01-07,15.540000,16.620001,14.160000,14.640000,14.640000,673967
2020-01-08,14.280000,14.280000,13.320000,13.560000,13.560000,436867
2020-01-09,13.680000,14.040000,13.140000,13.680000,13.680000,317300
2020-01-10,13.800000,14.700000,13.500000,14.160000,14.160000,366450
2020-01-13,14.520000,15.240000,13.920000,14.520000,14.520000,429483
2020-01-14,14.880000,14.880000,13.500000,14.040000,14.040000,464483
2020-01-15,13.200000,13.500000,10.920000,12.780000,12.780000,1382200
2020-01-16,12.300000,13.200000,12.240000,12.900000,12.900000,333500
2020-01-17,13.080000,13.080000,12.360000,12.420000,12.420000,276433
2020-01-21,12.480000,12.720000,12.000000,12.180000,12.180000,478183
2020-01-22,12.060000,13.260000,12.000000,12.420000,12.420000,598117
2020-01-23,12.360000,15.300000,11.880000,14.220000,14.220000,1384100
2020-01-24,14.520000,14.880000,12.600000,12.600000,12.600000,483233
2020-01-27,12.720000,14.220000,12.480000,13.080000,13.080000,325783
2020-01-28,13.560000,13.620000,12.480000,12.660000,12.660000,270817
2020-01-29,12.720000,13.200000,12.660000,12.900000,12.900000,293650
2020-01-30,12.720000,12.900000,12.000000,12.720000,12.720000,205217
2020-01-31,12.540000,12.720000,12.060000,12.180000,12.180000,152833
2020-02-03,12.240000,12.600000,12.000000,12.180000,12.180000,175367
2020-02-04,12.180000,12.480000,11.760000,12.360000,12.360000,290283
2020-02-05,12.480000,13.140000,12.360000,12.960000,12.960000,416433
2020-02-06,12.960000,13.080000,11.940000,12.540000,12.540000,312783
2020-02-07,12.360000,12.660000,12.060000,12.120000,12.120000,188400
2020-02-10,12.240000,12.360000,11.940000,12.060000,12.060000,160783
2020-02-11,12.240000,12.240000,11.700000,11.880000,11.880000,239133
2020-02-12,12.300000,12.300000,11.940000,12.060000,12.060000,299850
2020-02-13,12.480000,13.080000,11.460000,11.520000,11.520000,620667
2020-02-14,11.580000,11.760000,10.680000,10.740000,10.740000,493600
2020-02-18,10.620000,10.980000,9.660000,9.720000,9.720000,542867
2020-02-19,9.900000,10.500000,9.720000,10.260000,10.260000,223783
2020-02-20,10.380000,10.620000,9.300000,9.420000,9.420000,383083
2020-02-21,9.600000,9.660000,9.120000,9.120000,9.120000,369450
2020-02-24,9.060000,9.060000,8.160000,8.280000,8.280000,430000
2020-02-25,8.400000,8.880000,8.040000,8.220000,8.220000,319333
2020-02-26,8.280000,8.700000,7.800000,7.920000,7.920000,309417
2020-02-27,7.800000,8.220000,6.420000,7.980000,7.980000,426883
2020-02-28,7.620000,8.700000,7.500000,8.640000,8.640000,292167
2020-03-02,8.700000,8.700000,7.920000,8.160000,8.160000,212167
2020-03-03,8.280000,8.280000,7.200000,7.380000,7.380000,299350
2020-03-04,7.380000,7.620000,6.960000,7.560000,7.560000,187800
2020-03-05,7.380000,7.380000,6.780000,6.960000,6.960000,211183
2020-03-06,6.720000,7.080000,6.720000,7.020000,7.020000,157183
2020-03-09,6.540000,6.720000,6.180000,6.240000,6.240000,210167
2020-03-10,6.480000,6.660000,6.180000,6.420000,6.420000,163117
2020-03-11,6.420000,6.540000,5.880000,6.060000,6.060000,198217
2020-03-12,5.700000,5.820000,4.920000,5.100000,5.100000,303033
2020-03-13,5.460000,5.700000,4.620000,5.220000,5.220000,183950
2020-03-16,4.800000,5.160000,4.620000,4.800000,4.800000,111983
2020-03-17,4.800000,4.860000,4.200000,4.800000,4.800000,243333
2020-03-18,4.500000,4.740000,4.260000,4.680000,4.680000,147900
2020-03-19,4.620000,5.340000,4.500000,5.100000,5.100000,142450
2020-03-20,5.220000,6.780000,5.220000,5.820000,5.820000,366417
2020-03-23,5.700000,5.760000,4.920000,5.220000,5.220000,139550
2020-03-24,5.520000,6.000000,5.220000,5.400000,5.400000,153183
2020-03-25,5.460000,6.240000,5.340000,5.940000,5.940000,209667
2020-03-26,6.180000,7.200000,5.940000,6.660000,6.660000,331350
2020-03-27,6.540000,7.020000,6.240000,6.240000,6.240000,150617
2020-03-30,6.360000,6.840000,5.880000,5.880000,5.880000,172050
2020-03-31,6.240000,6.300000,5.580000,5.580000,5.580000,151500
2020-04-01,5.520000,5.700000,4.740000,4.800000,4.800000,249317
2020-04-02,4.980000,5.820000,4.860000,5.100000,5.100000,185117
2020-04-03,5.040000,5.340000,4.920000,5.220000,5.220000,109633
2020-04-06,5.520000,5.640000,5.340000,5.580000,5.580000,126617
2020-04-07,5.700000,6.180000,5.280000,5.580000,5.580000,166917
2020-04-08,5.580000,5.880000,5.280000,5.880000,5.880000,176067
2020-04-09,6.000000,6.480000,5.940000,6.420000,6.420000,206717
2020-04-13,6.420000,6.720000,6.000000,6.480000,6.480000,133517
2020-04-14,6.720000,7.200000,6.480000,6.840000,6.840000,177350
2020-04-15,6.780000,6.960000,6.060000,6.360000,6.360000,97183
2020-04-16,6.480000,6.780000,6.120000,6.360000,6.360000,98717
2020-04-17,6.600000,6.780000,6.360000,6.360000,6.360000,95250
2020-04-20,6.360000,8.220000,6.240000,7.200000,7.200000,425083
