Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2.130000,2.140000,2.040000,2.070000,2.070000,899000
2020-01-03,2.020000,2.080000,2.000000,2.040000,2.040000,997400
2020-01-06,2.040000,2.050000,2.000000,2.010000,2.010000,509200
2020-01-07,2.020000,2.130000,2.020000,2.070000,2.070000,901600
2020-01-08,2.080000,2.080000,2.010000,2.030000,2.030000,621300
2020-01-09,2.010000,2.060000,1.920000,1.970000,1.970000,911400
2020-01-10,1.990000,1.990000,1.900000,1.920000,1.920000,851700
2020-01-13,1.920000,1.960000,1.830000,1.910000,1.910000,892600
2020-01-14,1.900000,1.980000,1.870000,1.960000,1.960000,761300
2020-01-15,1.960000,2.020000,1.960000,1.990000,1.990000,588600
2020-01-16,2.020000,2.020000,1.980000,1.990000,1.990000,621300
2020-01-17,2.000000,2.000000,1.900000,1.900000,1.900000,687100
2020-01-21,1.930000,1.930000,1.810000,1.810000,1.810000,835400
2020-01-22,1.810000,1.850000,1.770000,1.770000,1.770000,615300
2020-01-23,1.770000,1.790000,1.700000,1.710000,1.710000,909000
2020-01-24,1.750000,1.820000,1.710000,1.750000,1.750000,972400
2020-01-27,1.720000,1.780000,1.670000,1.730000,1.730000,542800
2020-01-28,1.750000,1.770000,1.740000,1.770000,1.770000,456200
2020-01-29,1.770000,1.810000,1.740000,1.740000,1.740000,474500
2020-01-30,1.740000,1.750000,1.700000,1.720000,1.720000,307500
2020-01-31,1.720000,1.750000,1.700000,1.700000,1.700000,471300
2020-02-03,1.700000,1.710000,1.660000,1.690000,1.690000,1000700
2020-02-04,1.690000,1.710000,1.660000,1.660000,1.660000,528500
2020-02-05,1.660000,1.730000,1.660000,1.670000,1.670000,702600
2020-02-06,1.670000,1.770000,1.670000,1.720000,1.720000,694300
2020-02-07,1.700000,1.740000,1.680000,1.680000,1.680000,387200
2020-02-10,1.670000,1.710000,1.670000,1.690000,1.690000,333500
2020-02-11,1.700000,1.740000,1.690000,1.710000,1.710000,375000
2020-02-12,1.720000,1.740000,1.690000,1.690000,1.690000,421200
2020-02-13,1.690000,1.710000,1.660000,1.670000,1.670000,643800
2020-02-14,1.660000,1.670000,1.600000,1.600000,1.600000,1029100
2020-02-18,1.610000,1.620000,1.510000,1.560000,1.560000,858000
2020-02-19,1.570000,1.600000,1.490000,1.490000,1.490000,938800
2020-02-20,1.500000,1.610000,1.480000,1.610000,1.610000,1043500
2020-02-21,1.630000,1.630000,1.540000,1.550000,1.550000,861000
2020-02-24,1.550000,1.550000,1.430000,1.480000,1.480000,1321400
2020-02-25,1.470000,1.490000,1.400000,1.480000,1.480000,1259000
2020-02-26,1.430000,1.460000,1.320000,1.350000,1.350000,1345100
2020-02-27,1.270000,1.350000,1.150000,1.290000,1.290000,2005600
2020-02-28,1.200000,1.350000,1.180000,1.320000,1.320000,2114600
2020-03-02,1.300000,1.390000,1.260000,1.380000,1.380000,844100
2020-03-03,1.420000,1.440000,1.300000,1.310000,1.310000,806400
2020-03-04,1.340000,1.470000,1.280000,1.470000,1.470000,1154500
2020-03-05,1.450000,1.480000,1.350000,1.370000,1.370000,870600
2020-03-06,1.330000,1.440000,1.320000,1.430000,1.430000,1081100
2020-03-09,1.380000,1.380000,1.280000,1.310000,1.310000,658700
2020-03-10,1.350000,1.370000,1.200000,1.280000,1.280000,1149700
2020-03-11,1.290000,1.290000,1.180000,1.220000,1.220000,890900
2020-03-12,1.180000,1.190000,1.000000,1.040000,1.040000,1643200
2020-03-13,1.100000,1.110000,0.910000,1.030000,1.030000,1316700
2020-03-16,0.850000,1.050000,0.800000,0.840000,0.840000,1850000
2020-03-17,0.910000,0.990000,0.840000,0.950000,0.950000,1406300
2020-03-18,0.910000,0.910000,0.800000,0.830000,0.830000,984800
2020-03-19,0.870000,0.890000,0.820000,0.850000,0.850000,1063600
2020-03-20,0.910000,0.920000,0.830000,0.840000,0.840000,971800
2020-03-23,0.850000,0.890000,0.700000,0.760000,0.760000,1531000
2020-03-24,0.810000,0.980000,0.780000,0.950000,0.950000,1583700
2020-03-25,1.000000,1.320000,0.950000,1.240000,1.240000,2725300
2020-03-26,1.300000,1.460000,1.210000,1.320000,1.320000,2487700
2020-03-27,1.300000,1.320000,1.120000,1.270000,1.270000,1068400
2020-03-30,1.250000,1.290000,1.230000,1.270000,1.270000,710200
2020-03-31,1.260000,1.260000,1.110000,1.180000,1.180000,701500
2020-04-01,1.120000,1.140000,1.020000,1.030000,1.030000,756100
2020-04-02,1.040000,1.080000,1.020000,1.080000,1.080000,437300
2020-04-03,1.090000,1.110000,1.000000,1.050000,1.050000,511800
2020-04-06,1.120000,1.360000,1.110000,1.290000,1.290000,1648800
2020-04-07,1.300000,1.370000,1.220000,1.280000,1.280000,1361100
2020-04-08,1.310000,1.400000,1.300000,1.310000,1.310000,954300
2020-04-09,1.330000,1.370000,1.260000,1.320000,1.320000,578400
2020-04-13,1.310000,1.350000,1.260000,1.310000,1.310000,555700
