Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1.220000,1.250000,1.150000,1.220000,1.220000,345900
2020-01-03,1.230000,1.230000,1.160000,1.200000,1.200000,230800
2020-01-06,1.200000,1.210000,1.160000,1.210000,1.210000,220700
2020-01-07,1.220000,1.270000,1.200000,1.270000,1.270000,164300
2020-01-08,1.250000,1.290000,1.230000,1.260000,1.260000,144000
2020-01-09,1.270000,1.430000,1.260000,1.370000,1.370000,385100
2020-01-10,1.380000,1.420000,1.300000,1.330000,1.330000,325300
2020-01-13,2.200000,5.840000,2.100000,3.990000,3.990000,56057700
2020-01-14,5.530000,6.000000,3.900000,4.040000,4.040000,22122400
2020-01-15,3.670000,4.500000,3.480000,4.440000,4.440000,4749900
2020-01-16,4.180000,4.720000,4.110000,4.490000,4.490000,2986900
2020-01-17,4.510000,4.830000,4.300000,4.520000,4.520000,1885700
2020-01-21,4.430000,4.430000,3.700000,4.140000,4.140000,1663400
2020-01-22,4.380000,4.600000,4.000000,4.000000,4.000000,4032300
2020-01-23,4.030000,4.130000,4.000000,4.030000,4.030000,833700
2020-01-24,4.030000,4.087000,3.810000,3.920000,3.920000,2035000
2020-01-27,3.840000,3.890000,3.620000,3.680000,3.680000,931400
2020-01-28,3.680000,4.190000,3.680000,3.960000,3.960000,1677600
2020-01-29,4.080000,4.345000,3.980000,4.050000,4.050000,2055100
2020-01-30,3.980000,4.050000,3.900000,4.000000,4.000000,677900
2020-01-31,4.000000,4.000000,3.820000,3.900000,3.900000,583000
2020-02-03,3.910000,4.050000,3.910000,4.040000,4.040000,703900
2020-02-04,3.950000,4.052000,3.800000,4.040000,4.040000,972400
2020-02-05,4.040000,4.650000,4.020000,4.500000,4.500000,1714400
2020-02-06,4.500000,4.570000,4.000000,4.150000,4.150000,865500
2020-02-07,4.050000,4.170000,4.010000,4.080000,4.080000,392000
2020-02-10,4.060000,4.220000,4.010000,4.190000,4.190000,269500
2020-02-11,4.220000,4.280000,4.020000,4.160000,4.160000,489800
2020-02-12,4.190000,4.240000,4.060000,4.170000,4.170000,492800
2020-02-13,4.130000,4.170000,3.870000,3.970000,3.970000,597100
2020-02-14,3.960000,4.050000,3.820000,4.020000,4.020000,524600
2020-02-18,4.130000,4.370000,3.930000,4.020000,4.020000,771200
2020-02-19,4.030000,4.099000,3.900000,3.980000,3.980000,286500
2020-02-20,3.960000,4.010000,3.840000,3.950000,3.950000,547000
2020-02-21,3.940000,3.970000,3.660000,3.750000,3.750000,617900
2020-02-24,3.620000,3.835000,3.330000,3.580000,3.580000,563600
2020-02-25,3.600000,3.600000,3.410000,3.420000,3.420000,538700
2020-02-26,3.480000,3.660000,3.440000,3.510000,3.510000,400400
2020-02-27,3.450000,3.700000,3.260000,3.660000,3.660000,815200
2020-02-28,3.420000,3.650000,3.380000,3.620000,3.620000,445000
2020-03-02,3.650000,3.670000,3.490000,3.550000,3.550000,364500
2020-03-03,3.510000,3.670000,3.430000,3.500000,3.500000,338100
2020-03-04,3.580000,3.610000,3.410000,3.460000,3.460000,441800
2020-03-05,3.380000,3.770000,3.260000,3.720000,3.720000,399800
2020-03-06,3.660000,3.660000,3.410000,3.490000,3.490000,295400
2020-03-09,3.280000,3.320000,2.940000,2.960000,2.960000,562800
2020-03-10,3.000000,3.085000,2.850000,3.060000,3.060000,497400
2020-03-11,2.990000,3.030000,2.845000,2.940000,2.940000,406200
2020-03-12,2.800000,2.900000,2.460000,2.630000,2.630000,606500
2020-03-13,2.520000,2.780000,2.500000,2.720000,2.720000,471900
2020-03-16,2.200000,2.700000,2.000000,2.250000,2.250000,1087000
2020-03-17,2.260000,2.790000,2.260000,2.720000,2.720000,359400
2020-03-18,2.600000,2.840000,2.500000,2.610000,2.610000,505800
2020-03-19,2.560000,2.840000,2.550000,2.770000,2.770000,300300
2020-03-20,2.810000,2.910000,2.560000,2.620000,2.620000,365400
2020-03-23,2.500000,2.920000,2.500000,2.810000,2.810000,309600
2020-03-24,2.860000,3.090000,2.840000,3.080000,3.080000,449100
2020-03-25,3.100000,3.230000,2.770000,2.840000,2.840000,362400
2020-03-26,2.850000,3.000000,2.780000,2.860000,2.860000,193300
2020-03-27,2.840000,3.025000,2.690000,2.850000,2.850000,580200
2020-03-30,2.920000,2.920000,2.720000,2.750000,2.750000,254500
2020-03-31,2.690000,2.870000,2.551000,2.720000,2.720000,137900
2020-04-01,2.520000,2.840000,2.520000,2.580000,2.580000,194200
2020-04-02,2.590000,2.870000,2.540000,2.870000,2.870000,288400
